	Rora cKO-Skin-MC-Treg-Replicate1	Rora cKO-Skin-MC-Treg-Replicate2	Rora cKO-Skin-MC-Treg-Replicate3	Rora cKO-Skin-Treg-Replicate1	Rora cKO-Skin-Treg-Replicate2	Rora cKO-Skin-Treg-Replicate3	WT-LN-Treg-Replicate1	WT-LN-Treg-Replicate2	WT-LN-Treg-Replicate3	WT-Skin-MC-Treg-Replicate1	WT-Skin-MC-Treg-Replicate2	WT-Skin-MC-Treg-Replicate3	WT-Skin-Treg-Replicate1	WT-Skin-Treg-Replicate2	WT-Skin-Treg-Replicate3
Bub3	4968	5175	4886	5289	4105	4794	6522	7922	7685	6710	6431	6459	4273	5548	3731
Bud13	636	761	695	900	694	874	907	1052	801	816	858	797	808	663	484
Bud31	2086	1859	1808	1904	1407	1786	1352	1612	1345	2584	2126	2174	1467	2241	1458
Bves	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bysl	641	517	466	766	703	730	1009	1201	1136	668	875	787	770	885	517
Bzrap1	217	128	102	236	162	248	59	115	183	121	146	202	173	226	184
Bzw1	16563	14694	14897	15204	15111	17984	13755	15526	16156	19469	18005	20218	14947	11753	13973
Bzw2	5477	5346	4342	3308	2571	3141	6332	7099	6844	6386	5045	5989	2846	3147	3473
C030006K11Rik	60	62	89	68	115	66	392	346	305	90	131	61	79	79	20
C030007H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C030013G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C030016D13Rik	0	3	4	0	0	0	16	18	17	0	1	5	13	0	17
C030018K13Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C030023E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C030029H02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C030034I22Rik	123	146	100	74	33	61	223	289	194	176	82	127	60	105	93
C030034L19Rik	6	3	12	25	3	27	24	63	52	7	26	5	65	12	52
C030037D09Rik	38	5	4	32	17	19	39	38	38	41	33	25	21	13	44
C030039L03Rik	34	18	29	12	21	22	126	142	124	49	44	32	17	6	13
C030046E11Rik	497	487	577	626	742	1044	103	68	129	1010	1119	578	1046	857	808
C130021I20Rik	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C130026I21Rik	3	3	2	3	8	6	34	32	58	3	4	6	6	1	7
C130026L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130030K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130036L24Rik	18	37	10	43	16	6	62	67	39	31	32	17	5	14	14
C130046K22Rik	39	58	63	40	54	54	106	104	105	85	101	61	37	33	17
C130050O18Rik	10	1	1	0	4	3	0	0	8	2	0	6	0	4	3
C130060C02Rik	6	0	0	0	2	0	1	4	0	0	0	0	0	0	0
C130060K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130071C03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130074G19Rik	0	0	6	12	5	0	0	0	2	0	12	3	0	0	1
C130079G13Rik	0	0	32	587	0	22	0	0	0	0	0	2	63	453	0
C130080G10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C130083M11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1d	1981	1504	1505	1440	1013	1243	2816	3246	2838	1960	1589	1644	797	973	956
C1galt1	290	379	310	233	484	186	120	97	123	391	451	261	225	320	240
C1galt1c1	1072	1004	924	943	845	788	639	871	665	1172	981	1119	712	445	700
C1qa	46	486	115	7	5	0	30	20	109	47	1	36	1	103	104
C1qb	125	775	142	28	17	12	59	33	166	85	0	64	8	139	203
C1qbp	999	796	893	1056	754	1086	2726	3639	3641	1327	1800	1219	828	919	713
C1qc	55	555	84	23	12	7	30	42	142	164	0	76	14	72	164
C1ql1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
C1ql2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1ql3	0	0	0	0	0	0	15	12	12	0	0	2	0	0	0
C1ql4	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0
C1qtnf1	15	5	73	55	16	0	0	4	2	39	51	39	32	9	11
C1qtnf2	0	0	18	13	27	0	0	0	0	0	0	7	0	0	7
C1qtnf3	0	0	0	28	2	0	0	0	0	0	0	0	0	1	0
C1qtnf4	33	63	42	46	15	32	56	73	26	62	106	42	23	52	20
C1qtnf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1qtnf6	364	239	364	199	221	305	157	240	315	306	188	291	188	85	123
C1qtnf7	0	0	0	3	0	0	0	0	0	1	11	0	0	0	11
C1qtnf9	4	23	115	7	21	15	1	1	3	19	14	46	8	31	58
C1ra	20	14	29	46	7	0	0	8	4	9	11	25	12	0	20
C1rb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1rl	4	9	3	10	0	0	0	0	0	0	0	1	0	0	8
C1s1	18	69	108	51	12	3	0	2	1	0	49	28	0	43	27
C1s2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
C2	0	12	15	9	23	0	8	14	15	0	2	12	0	0	20
C230004F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C230024C17Rik	41	15	20	14	12	18	10	19	17	22	46	16	22	16	40
C230029M16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
C230035I16Rik	4	6	1	0	0	0	0	0	5	9	19	7	0	0	0
C230037L18Rik	4	1	10	9	9	7	9	11	14	4	3	4	13	3	1
C230052I12Rik	396	374	350	429	369	286	902	994	901	390	509	458	268	296	291
C230079O03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C230091D08Rik	51	68	33	68	46	77	70	59	84	84	77	67	50	45	39
C2cd2	295	382	366	433	570	392	259	350	333	620	603	546	671	711	433
C2cd2l	437	419	405	672	847	652	356	464	331	513	635	497	694	458	351
C2cd3	445	303	329	479	496	362	778	679	1236	435	525	665	440	425	361
C2cd4a	0	0	4	8	4	3	2	0	0	0	0	0	0	5	0
C2cd4b	2	0	11	7	38	18	2	4	2	7	78	8	18	60	4
C2cd4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2cd4d	0	0	0	2	2	0	0	0	0	0	0	0	0	7	0
C2cd5	525	315	305	332	445	286	1446	1622	1942	348	393	464	254	159	141
C3	35	150	129	212	20	0	16	46	118	43	82	207	6	27	20
C330006A16Rik	246	303	275	287	219	231	715	812	673	311	323	296	259	112	209
C330007P06Rik	684	612	691	778	689	897	1052	1159	1299	911	993	1062	735	726	720
C330011F03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C330013E15Rik	22	21	28	40	21	42	33	29	9	65	25	21	30	7	19
C330013F16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C330018D20Rik	51	82	96	44	44	44	383	538	352	48	153	67	27	51	77
C330021F23Rik	49	53	41	37	39	21	81	94	57	59	64	48	35	45	35
C330022C24Rik	0	0	0	0	0	0	0	0	0	6	0	1	5	0	0
C330024C12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C330024D21Rik	6	9	6	11	13	22	13	11	12	13	15	11	9	10	11
C330027C09Rik	189	136	99	224	204	117	160	258	602	184	196	138	139	102	138
C330046G13Rik	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
C3ar1	56	131	43	4	47	26	0	1	1	65	6	56	6	37	47
C430002E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C430002N11Rik	4	4	2	7	9	26	13	25	22	0	0	4	4	5	29
C430049B03Rik	13	6	16	10	42	31	2	0	1	11	24	9	31	100	28
C4a	3	6	0	0	9	0	6	3	7	14	8	2	4	0	0
C4b	22	67	37	0	3	0	0	0	0	46	2	29	41	0	0
C4bp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4bp-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C530005A16Rik	13	11	5	0	23	13	15	7	9	1	6	5	8	1	2
C530008M17Rik	1	0	12	9	0	0	16	16	22	0	0	11	15	15	4
C530044C16Rik	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
C5ar1	42	40	26	2	0	25	0	0	5	24	0	16	0	0	54
C5ar2	3	14	3	0	1	1	1	1	6	1	1	0	2	0	0
C6	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0
C630028M04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C630031E19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C630043F03Rik	23	5	53	14	13	26	12	20	6	17	14	10	15	0	6
C7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
C730002L08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C730027H18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C730036E19Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C77080	45	34	97	253	539	546	10	18	22	65	136	71	264	682	172
C77370	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0
C78339	31	86	152	128	215	215	54	50	27	55	247	24	63	19	33
C86187	17	6	9	22	10	10	7	5	11	17	21	6	8	16	10
C86695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C87198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C87414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C87436	581	414	552	509	550	762	1151	1322	942	811	728	640	504	673	613
C87499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C87977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C8g	14	5	10	10	15	4	38	37	62	31	20	8	21	15	9
C9	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
C920006O11Rik	6	16	8	4	0	14	128	70	108	19	26	12	11	44	5
C920009B18Rik	307	160	264	170	182	191	243	356	338	538	407	627	567	349	411
C920021L13Rik	1	0	1	1	0	1	8	5	15	1	1	5	0	17	2
C920025E04Rik	932	681	762	718	775	926	1007	929	884	828	1061	733	718	606	784
CK137956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caap1	326	260	317	345	188	317	524	563	470	513	231	247	149	174	197
Cab39	3768	3620	4199	4208	5491	5744	3402	2363	3394	4662	5463	3126	4132	4132	3457
Cab39l	641	637	439	591	655	549	2156	2425	2259	698	726	802	617	559	400
Cabin1	770	530	576	738	814	979	1797	2021	2367	1022	821	840	842	638	694
Cables1	64	295	395	452	383	439	5	0	4	517	848	256	502	709	189
Cables2	351	568	912	748	1376	1256	128	82	219	822	1492	328	702	791	254
Cabp1	3	0	4	7	0	0	0	5	4	1	7	2	0	16	2
Cabp2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Cabp4	16	9	11	5	15	8	9	14	23	7	6	11	4	11	16
Cabp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cabp7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cabs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cabyr	196	32	72	83	107	291	8	7	8	290	127	161	224	148	318
Cacfd1	363	286	294	272	266	322	630	734	623	388	469	411	297	446	319
Cachd1	0	0	14	7	3	0	0	0	0	3	0	6	0	0	0
Cacna1a	29	19	46	28	83	40	61	55	68	26	69	35	32	51	51
Cacna1b	0	6	4	0	0	9	0	5	9	1	7	10	16	0	0
Cacna1c	5	2	0	4	3	0	4	4	10	3	15	3	0	0	0
Cacna1d	10	10	4	11	47	10	30	36	96	1	12	10	3	17	9
Cacna1e	0	0	3	0	0	0	0	5	12	0	0	0	0	0	2
Cacna1f	5	0	2	0	0	8	0	0	0	4	0	0	17	0	0
Cacna1g	13	3	37	40	27	36	0	0	0	3	11	6	1	84	2
Cacna1h	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0
Cacna1i	4	0	2	0	0	0	3	0	42	1	0	0	0	0	22
Cacna1s	127	92	93	97	106	92	80	92	136	122	88	106	38	44	73
Cacna2d1	0	22	16	0	0	0	0	0	0	0	0	2	0	0	0
Cacna2d2	2	10	9	0	0	1	20	49	33	9	5	1	2	6	2
Cacna2d3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cacna2d4	39	74	30	41	32	68	662	840	627	23	14	49	13	17	25
Cacnb1	330	314	366	433	408	504	419	353	290	216	192	378	467	400	207
Cacnb2	0	0	0	11	0	0	8	3	2	0	0	0	0	0	0
Cacnb3	33	59	72	90	89	101	5	7	102	83	90	26	11	50	22
Cacnb4	36	39	28	63	12	20	37	15	28	43	19	33	29	5	24
Cacng1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Cacng2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacng3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacng4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cacng5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacng6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacng7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cacng8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cactin	1351	1240	1569	1462	2166	2217	2098	2314	2302	2090	1922	2178	2020	1783	1305
Cacul1	1046	944	891	1256	1285	1641	856	840	854	1274	1456	1226	1178	1294	1193
Cacybp	7262	6183	6120	7472	6938	7217	6112	7126	6639	7569	7075	7036	6301	6712	5582
Cad	225	75	133	236	281	144	585	737	1236	343	271	291	194	258	201
Cadm1	6	0	12	19	90	1	14	0	17	90	38	36	39	23	4
Cadm2	0	0	0	0	0	2	0	0	0	0	0	5	0	12	5
Cadm3	2	0	0	13	0	0	0	0	1	0	0	1	0	1	1
Cadm4	2	5	9	7	1	0	0	0	1	5	0	0	9	9	0
Cadps	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Cadps2	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
Cage1	39	6	15	17	33	51	28	28	27	35	12	45	18	21	13
Calb1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Calb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calca	881	690	653	4087	3696	4676	0	5	2	611	713	374	1114	2014	1670
Calcb	2	4	8	15	33	41	0	0	0	0	4	0	0	0	0
Calcoco1	625	908	786	739	1003	1002	1874	2315	1814	1055	1035	1388	1178	868	680
Calcoco2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
Calcr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calcrl	909	658	643	1273	1538	1254	694	974	829	598	706	724	982	649	635
Cald1	16	32	110	79	81	38	0	2	2	20	77	68	11	49	99
Calhm1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Calhm2	360	299	373	371	294	430	732	795	991	369	438	344	259	244	51
Calm1	64106	48089	49251	70946	69751	77456	41491	49715	40247	59739	58273	58251	57188	79072	58012
Calm2	27989	23529	24219	31283	30081	34652	15591	18363	15082	31177	26310	28450	28826	35477	29110
Calm3	3002	2041	2709	2607	2091	1906	2716	3172	3957	2494	3315	2585	2180	2568	1680
Calm4	0	5	67	23	73	0	0	0	12	31	0	99	14	0	0
Calm5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Calml3	0	0	4	49	31	15	0	0	0	25	0	7	4	38	0
Calml4	1	16	32	0	0	0	2	0	1	2	0	4	1	0	0
Caln1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Calr	24665	17452	19779	28182	28474	32025	23479	27655	25452	24865	24016	25687	27490	26005	23455
Calr3	8	7	3	0	22	0	32	29	13	0	22	2	0	0	0
Calr4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Calu	3040	2260	2420	3153	3392	2891	3445	3837	3951	2802	2928	3454	2544	1564	2460
Caly	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0
Camk1	188	132	133	237	218	321	32	81	85	150	153	99	228	319	109
Camk1d	394	301	289	582	543	716	701	723	889	615	576	683	918	863	878
Camk1g	0	5	0	0	0	0	0	0	0	4	0	1	0	0	0
Camk2a	24	6	16	21	0	4	86	49	97	23	12	18	8	14	12
Camk2b	200	162	217	134	225	91	156	296	215	202	217	281	193	227	120
Camk2d	2264	1682	1863	1152	1752	1987	2683	3072	4318	2216	1921	2575	1607	1683	1391
Camk2g	861	532	530	637	802	800	370	390	400	566	616	655	550	988	444
Camk2n1	96	97	86	346	292	415	10	10	10	154	250	81	311	531	329
Camk2n2	13	3	4	9	5	17	1	0	3	9	17	6	2	24	0
Camk4	6538	5372	5015	5415	5391	6474	3441	3700	2874	7259	6268	7140	5372	4944	4118
Camkk1	162	96	158	160	226	168	340	365	319	113	128	130	313	147	127
Camkk2	140	153	194	253	329	298	501	627	617	179	293	326	249	210	166
Camkmt	159	69	128	105	152	162	377	319	354	185	107	107	105	84	107
Camkv	12	3	0	36	79	48	0	0	0	0	0	7	21	2	6
Caml	800	607	827	960	654	916	1015	999	768	1063	893	921	836	1357	859
Camp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Camsap1	266	189	291	424	399	366	100	150	284	403	442	224	239	562	220
Camsap2	461	633	520	679	878	919	310	263	396	549	651	491	695	810	592
Camsap3	2	0	1	2	13	21	1	3	12	19	0	31	62	11	9
Camta1	335	395	449	353	294	379	309	374	267	404	572	383	363	426	362
Camta2	419	506	434	370	459	595	794	995	1262	615	460	705	485	285	298
Cand1	1502	1367	1220	1578	2282	2109	2325	2588	3256	2206	2426	2667	2147	1305	1471
Cand2	8	1	15	21	16	20	362	386	310	39	33	68	10	14	16
Cant1	318	206	284	369	499	463	1399	954	1456	259	408	444	540	553	335
Canx	8494	7227	7562	7649	6962	7274	8187	10909	10596	9302	8164	9608	6665	5418	5929
Cap1	4233	2914	3115	3066	2693	2978	4555	5140	5515	3605	3042	4580	2388	1613	1614
Cap2	18	0	13	1	0	0	9	6	13	4	66	3	7	16	3
Capg	26480	18326	21488	30856	28415	27040	18875	22518	22871	19212	20591	22348	22492	32020	22485
Capn1	1140	851	1117	907	1148	1335	1788	2175	2030	1088	1121	1620	1106	891	731
Capn10	187	96	216	196	200	338	216	232	285	291	342	327	267	361	102
Capn11	0	9	6	3	0	0	0	0	1	38	63	19	0	0	8
Capn12	0	3	2	2	9	1	0	0	0	2	7	0	4	3	5
Capn13	0	0	0	0	0	0	0	26	35	0	0	0	0	0	0
Capn15	229	295	312	247	270	291	351	394	599	369	345	433	333	155	138
Capn2	8936	6833	8795	9167	10325	12021	4082	4314	4084	7880	8494	8166	7300	6514	5095
Capn3	40	16	15	14	19	20	1784	2621	1747	62	19	19	35	0	23
Capn5	41	38	82	52	49	43	34	25	73	22	10	73	8	14	9
Capn6	1	0	0	0	0	0	0	0	0	2	0	6	14	0	0
Capn7	1959	1359	1710	1324	2007	2069	1699	1842	2045	2261	2231	2115	1647	1089	1054
Capn8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Capn9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Capns1	2685	2114	2274	2778	1987	2294	2098	2664	2071	2645	2597	2566	1746	2507	1800
Capns2	0	0	0	0	4	10	0	0	0	39	0	39	5	0	0
Caprin1	5815	5117	5030	4455	5875	6204	6631	7975	9647	6884	7252	7531	5274	4031	4194
Caprin2	79	22	30	88	59	130	110	102	129	50	156	87	94	139	124
Caps2	0	0	3	0	0	3	0	0	3	0	9	2	0	0	1
Capsl	99	57	63	117	48	88	59	84	91	54	20	42	34	48	23
Capza1	14871	12955	12956	11876	12516	13532	20334	23413	23505	15493	15333	19877	11456	7371	9344
Capza2	18818	14775	15758	15473	15175	16535	11309	13306	12664	17846	15099	19542	14172	12191	12636
Capza3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capzb	22667	17115	17433	19353	16633	17548	19639	23211	21563	22355	22212	21168	13210	17432	12996
Car1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Car10	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
Car11	0	9	0	20	23	1	56	52	44	0	0	2	13	46	0
Car12	47	15	49	134	84	25	148	255	264	100	74	73	48	0	13
Car13	23	19	23	72	0	12	5	8	14	20	0	16	23	1	9
Car14	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0
Car15	17	13	26	10	53	26	11	11	18	48	18	18	21	79	34
Car2	40	7	43	5	0	30	118	145	149	27	14	6	8	14	6
Car3	7	5	0	16	1	3	0	0	0	0	1	11	0	855	10
Car4	0	21	174	62	17	13	0	0	0	10	0	83	0	0	77
Car5a	8	12	11	14	11	20	11	10	14	11	20	15	17	20	20
Car5b	840	488	691	691	549	502	95	126	302	624	642	657	268	304	170
Car6	4	0	0	0	0	0	1	0	0	0	9	0	0	0	7
Car7	1	40	26	28	14	11	30	46	33	40	58	16	16	13	19
Car8	36	2	28	33	38	116	1	0	7	0	30	7	7	1	1
Car9	1	13	8	0	2	3	31	20	37	0	2	3	34	5	4
Card10	26	40	14	58	72	23	3	18	16	76	18	62	11	4	18
Card11	439	349	400	537	765	723	2025	2339	2253	635	339	561	734	642	725
Card14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Card6	184	256	226	69	120	104	1538	1942	1463	270	189	226	133	11	77
Card9	4	3	9	33	15	0	21	17	24	11	4	5	3	1	0
Carf	96	97	69	59	17	52	202	188	223	162	51	80	20	72	38
Carhsp1	3024	3109	2698	2849	2394	3352	717	780	950	3460	3531	3287	3313	2589	3010
Carkd	466	462	614	580	483	447	1310	1394	1217	555	618	564	380	355	428
Carm1	82	115	148	83	404	241	104	110	218	134	222	66	142	233	54
Carns1	256	196	206	267	245	536	246	332	406	278	216	310	310	578	117
Cars	943	964	1088	1330	951	1222	1020	1335	1319	1598	1598	1317	818	866	835
Cars2	320	279	321	301	590	619	713	803	758	508	468	338	419	542	433
Cartpt	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Casc1	2	18	7	2	2	0	15	3	2	13	1	17	0	19	14
Casc3	1568	1649	1580	1844	2301	2942	1885	2170	2160	2470	2384	2052	2555	2264	1782
Casc4	282	270	313	347	301	307	214	302	316	309	435	240	280	312	267
Casc5	186	96	60	194	80	153	186	279	1018	108	128	95	51	114	113
Casd1	322	378	400	458	583	322	936	808	1116	320	615	536	349	254	348
Cask	14	29	43	93	112	113	36	52	42	49	77	72	85	42	97
Caskin1	18	20	26	12	7	48	7	6	7	11	21	10	12	79	10
Caskin2	240	160	216	213	165	376	46	75	134	402	348	442	237	234	104
Casp1	2673	1408	1326	2253	1886	2675	2005	2148	1552	1638	1215	1641	1004	1679	808
Casp12	0	0	39	5	0	12	0	0	1	0	23	13	4	39	11
Casp14	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Casp2	1121	791	927	950	863	1177	2115	2478	2828	1079	1089	1279	957	712	758
Casp3	4164	2958	3208	2548	2262	2774	1872	2102	3750	3200	3065	3549	2017	1130	1788
Casp4	2758	1247	1302	2132	1686	2925	1043	999	737	1765	1204	1325	1147	2267	1220
Casp6	1413	1491	1614	1655	1309	1266	2111	2123	1700	1433	1449	1697	1009	1325	830
Casp7	535	356	314	266	172	286	1067	1361	1342	408	561	490	217	217	391
Casp8	5629	4695	5164	4155	4013	4650	10454	12441	8557	5131	4061	5651	2770	3076	2786
Casp8ap2	2364	2067	1920	2240	1950	2013	1625	1886	2126	2809	2644	2425	1745	1968	1995
Casp9	155	214	330	113	176	195	599	619	515	342	325	327	134	91	93
Casq1	0	0	0	0	9	0	0	2	0	0	0	3	6	97	0
Casq2	0	0	0	10	0	0	0	0	0	0	105	9	0	0	0
Casr	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cass4	831	420	437	844	819	1158	178	196	208	383	448	438	739	673	376
Cast	7368	5491	4803	5401	7294	6681	7903	9769	7264	6956	6520	8024	6322	4449	5292
Casz1	42	40	56	77	80	50	60	60	82	26	43	48	77	20	48
Cat	2212	2080	1792	2205	2005	2329	4105	4791	4183	2150	2623	2256	1672	1517	1215
Catip	12	25	66	15	17	17	0	0	1	9	15	31	5	9	5
Catsper1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catsper2	32	38	10	43	11	43	49	53	62	37	23	25	25	37	40
Catsper3	0	0	0	0	3	0	4	2	0	0	0	0	0	0	0
Catsper4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1
Catsperb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catsperd	22	17	11	16	10	36	21	47	49	13	12	12	2	17	28
Catsperg1	9	8	5	12	0	8	1	11	16	17	16	17	12	0	4
Catsperg2	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Cav1	30	36	489	310	385	91	1	0	0	111	446	307	99	95	338
Cav2	177	102	164	159	145	67	20	42	36	131	94	192	133	64	122
Cav3	3	0	0	0	0	0	0	0	0	0	0	2	0	15	0
Cbfa2t2	510	320	609	522	697	717	772	1107	912	699	732	588	555	494	514
Cbfa2t3	2	5	6	18	16	0	10	6	92	11	27	2	0	10	14
Cbfb	4047	4281	4320	4714	5031	4885	3490	3611	4289	4603	5302	4354	3803	2578	3383
Cbl	573	480	443	531	699	809	773	926	1228	664	689	695	573	450	357
Cblb	2767	2726	2615	2477	3244	3950	2338	2299	2755	3287	3086	3528	4202	3268	3137
Cblc	0	7	0	14	0	0	7	0	10	0	0	2	0	0	5
Cbll1	1594	1340	1325	1377	1400	1822	1180	1328	1385	2058	1544	1933	1699	753	1474
Cbln1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cbln2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbln3	8	24	18	11	6	8	10	11	27	16	15	13	11	14	13
Cbln4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbr1	1210	1155	1073	1663	1300	1195	2024	2275	1464	1166	1223	1140	1037	1722	893
Cbr2	58	195	88	21	15	0	25	20	22	76	9	30	23	168	26
Cbr3	39	13	45	72	63	100	1	1	1	100	28	37	25	92	45
Cbr4	160	202	210	175	116	103	321	394	403	206	191	131	104	99	92
Cbs	0	0	15	0	0	0	10	1	0	0	0	22	7	0	1
Cbwd1	375	212	364	396	373	468	434	511	396	425	329	451	242	370	331
Cbx1	742	603	600	622	463	566	1041	1361	1274	847	870	770	529	743	690
Cbx2	26	146	81	84	173	55	393	362	383	76	96	65	64	91	118
Cbx3	2977	2576	2684	2286	1873	1773	4175	5267	5630	2767	2759	3157	1471	1373	1303
Cbx4	977	1198	1089	2228	3479	2805	1435	1039	914	1289	1644	810	2409	2029	1348
Cbx5	555	578	545	776	549	601	700	793	1411	637	864	657	389	429	278
Cbx6	410	432	441	308	428	286	1328	1376	1985	554	519	556	400	485	234
Cbx7	712	1016	840	906	1303	1387	1824	1240	1339	1077	1243	612	714	912	501
Cbx8	177	179	137	157	207	114	637	638	408	247	213	156	191	317	85
Cby1	344	234	226	169	100	205	468	531	499	217	245	234	77	178	122
Cc2d1a	686	746	764	497	686	833	1384	1539	1425	976	1366	1119	618	500	532
Cc2d1b	901	876	874	1181	1053	1408	2183	2916	2969	1508	1232	1368	1482	1317	818
Cc2d2a	16	0	10	0	8	6	141	186	250	28	98	72	72	106	54
Ccar1	3647	3619	2978	2966	3420	3925	3506	4331	4405	4361	3867	4436	3247	3165	2943
Ccar2	843	688	755	529	577	535	2430	2726	3156	834	965	1183	518	478	369
Ccbe1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0
Ccbl1	9	22	70	102	106	29	284	393	299	76	45	84	43	82	82
Ccbl2	220	116	130	200	191	78	238	247	281	196	144	165	109	202	122
Ccdc101	1523	1884	1357	1209	1280	1434	1293	1690	1072	1990	1558	1705	1160	1684	1183
