Gene stable ID	Transcript length (including UTRs and CDS)
ENSMUSG00000089438	105
ENSMUSG00000069890	1821
ENSMUSG00000056468	3354
ENSMUSG00000099302	167
ENSMUSG00000084511	192
ENSMUSG00000077415	131
ENSMUSG00000077617	132
ENSMUSG00000098460	67
ENSMUSG00000077021	85
ENSMUSG00000088369	256
ENSMUSG00000024553	2871
ENSMUSG00000088677	101
ENSMUSG00000092880	131
ENSMUSG00000094522	79
ENSMUSG00000087760	158
ENSMUSG00000088773	108
ENSMUSG00000025203	5453
ENSMUSG00000093368	94
ENSMUSG00000089432	108
ENSMUSG00000087947	64
ENSMUSG00000093358	92
ENSMUSG00000024999	3977
ENSMUSG00000096343	119
ENSMUSG00000024887	4682
ENSMUSG00000077667	114
ENSMUSG00000092948	72
ENSMUSG00000098317	68
ENSMUSG00000074877	285
ENSMUSG00000077192	132
ENSMUSG00000042041	1165
ENSMUSG00000075837	141
ENSMUSG00000088766	123
ENSMUSG00000099091	66
ENSMUSG00000106307	130
ENSMUSG00000099219	160
ENSMUSG00000088121	171
ENSMUSG00000088860	85
ENSMUSG00000065283	132
ENSMUSG00000095453	119
ENSMUSG00000047656	1142
ENSMUSG00000044857	2595
ENSMUSG00000024740	4155
ENSMUSG00000064829	74
ENSMUSG00000092814	126
ENSMUSG00000077387	171
ENSMUSG00000065648	100
ENSMUSG00000094807	101
ENSMUSG00000092852	79
ENSMUSG00000064591	106
ENSMUSG00000079794	255
ENSMUSG00000093124	86
ENSMUSG00000092903	317
ENSMUSG00000065894	116
ENSMUSG00000088004	109
ENSMUSG00000079264	84
ENSMUSG00000025171	1527
ENSMUSG00000093883	543
ENSMUSG00000074108	645
ENSMUSG00000098258	106
ENSMUSG00000089082	276
ENSMUSG00000077757	112
ENSMUSG00000106597	63
ENSMUSG00000065527	88
ENSMUSG00000087739	139
ENSMUSG00000064928	108
ENSMUSG00000084465	119
ENSMUSG00000095491	79
ENSMUSG00000065616	64
ENSMUSG00000087883	132
ENSMUSG00000084480	113
ENSMUSG00000084547	247
ENSMUSG00000095284	107
ENSMUSG00000088979	90
ENSMUSG00000077217	132
ENSMUSG00000077263	126
ENSMUSG00000106611	89
ENSMUSG00000064630	109
ENSMUSG00000064714	96
ENSMUSG00000095467	120
ENSMUSG00000099176	129
ENSMUSG00000089514	137
ENSMUSG00000089318	304
ENSMUSG00000089014	118
ENSMUSG00000049670	1816
ENSMUSG00000024987	1773
ENSMUSG00000024552	2793
ENSMUSG00000024552	1428
ENSMUSG00000095205	71
ENSMUSG00000098766	104
ENSMUSG00000088840	97
ENSMUSG00000104757	93
ENSMUSG00000077562	107
ENSMUSG00000084475	289
ENSMUSG00000088192	124
ENSMUSG00000098878	62
ENSMUSG00000098946	122
ENSMUSG00000092928	93
ENSMUSG00000088961	102
ENSMUSG00000088207	114
ENSMUSG00000087850	133
ENSMUSG00000077726	130
ENSMUSG00000098536	102
ENSMUSG00000092981	79
ENSMUSG00000098327	70
ENSMUSG00000098942	121
ENSMUSG00000105814	109
ENSMUSG00000089174	122
ENSMUSG00000094109	94
ENSMUSG00000065158	227
ENSMUSG00000095924	79
ENSMUSG00000088680	121
ENSMUSG00000065061	140
ENSMUSG00000025036	3210
ENSMUSG00000104863	111
ENSMUSG00000077673	131
ENSMUSG00000064507	119
ENSMUSG00000092907	71
ENSMUSG00000096492	83
ENSMUSG00000077022	110
ENSMUSG00000048720	4209
ENSMUSG00000096305	94
ENSMUSG00000093273	67
ENSMUSG00000065481	98
ENSMUSG00000080684	122
ENSMUSG00000099147	75
ENSMUSG00000084460	123
ENSMUSG00000098745	60
ENSMUSG00000084451	99
ENSMUSG00000065457	70
ENSMUSG00000095041	2373
ENSMUSG00000095041	4060
ENSMUSG00000088839	64
ENSMUSG00000094717	107
ENSMUSG00000098518	120
ENSMUSG00000065246	106
ENSMUSG00000088361	268
ENSMUSG00000098267	137
ENSMUSG00000080668	101
ENSMUSG00000064452	75
ENSMUSG00000089127	76
ENSMUSG00000089050	72
ENSMUSG00000105488	114
ENSMUSG00000098722	60
ENSMUSG00000025212	2966
ENSMUSG00000025212	2867
ENSMUSG00000025212	2843
ENSMUSG00000084548	117
ENSMUSG00000093900	87
ENSMUSG00000104627	147
ENSMUSG00000098886	105
ENSMUSG00000077107	92
ENSMUSG00000077306	133
ENSMUSG00000093937	132
ENSMUSG00000087987	103
ENSMUSG00000096604	94
ENSMUSG00000098943	216
ENSMUSG00000076287	164
ENSMUSG00000098686	80
ENSMUSG00000077270	132
ENSMUSG00000106605	125
ENSMUSG00000089461	128
ENSMUSG00000092715	131
ENSMUSG00000077537	127
ENSMUSG00000089531	159
ENSMUSG00000095631	119
ENSMUSG00000092641	251
ENSMUSG00000077050	110
ENSMUSG00000087813	119
ENSMUSG00000099062	57
ENSMUSG00000089190	144
ENSMUSG00000064595	126
ENSMUSG00000091007	940
ENSMUSG00000093009	66
ENSMUSG00000098658	109
ENSMUSG00000065126	70
ENSMUSG00000092794	80
ENSMUSG00000076382	82
ENSMUSG00000092850	71
ENSMUSG00000064679	72
ENSMUSG00000089051	104
ENSMUSG00000092827	76
ENSMUSG00000096028	79
ENSMUSG00000098710	63
ENSMUSG00000088291	55
ENSMUSG00000089287	133
ENSMUSG00000087957	120
ENSMUSG00000076142	82
ENSMUSG00000094438	79
ENSMUSG00000076231	96
ENSMUSG00000087782	112
ENSMUSG00000096030	107
ENSMUSG00000077015	110
ENSMUSG00000065858	156
ENSMUSG00000096184	121
ENSMUSG00000065312	107
ENSMUSG00000088954	433
ENSMUSG00000077282	132
ENSMUSG00000094968	121
ENSMUSG00000064964	105
ENSMUSG00000084426	130
ENSMUSG00000089234	317
ENSMUSG00000064380	203
ENSMUSG00000087873	109
ENSMUSG00000098718	113
ENSMUSG00000064605	149
ENSMUSG00000025066	1583
ENSMUSG00000065277	102
ENSMUSG00000095818	110
ENSMUSG00000095699	97
ENSMUSG00000088143	166
ENSMUSG00000099308	102
ENSMUSG00000046145	456
ENSMUSG00000099191	107
ENSMUSG00000076232	93
ENSMUSG00000077896	76
ENSMUSG00000094598	110
ENSMUSG00000089252	125
ENSMUSG00000087718	106
ENSMUSG00000092705	138
ENSMUSG00000094489	107
ENSMUSG00000077376	120
ENSMUSG00000065714	103
ENSMUSG00000025200	3574
ENSMUSG00000087844	97
ENSMUSG00000084516	80
ENSMUSG00000077736	124
ENSMUSG00000092747	59
ENSMUSG00000089106	67
ENSMUSG00000095604	110
ENSMUSG00000099001	208
ENSMUSG00000064837	133
ENSMUSG00000088213	325
ENSMUSG00000064577	107
ENSMUSG00000094842	125
ENSMUSG00000084531	314
ENSMUSG00000095989	102
ENSMUSG00000078655	81
ENSMUSG00000099330	73
ENSMUSG00000065825	107
ENSMUSG00000092830	71
ENSMUSG00000096731	107
ENSMUSG00000095701	166
ENSMUSG00000077287	129
ENSMUSG00000095278	126
ENSMUSG00000099284	67
ENSMUSG00000087994	76
ENSMUSG00000093026	113
ENSMUSG00000098813	95
ENSMUSG00000099314	89
ENSMUSG00000080441	98
ENSMUSG00000062376	2176
ENSMUSG00000077472	131
ENSMUSG00000080367	121
ENSMUSG00000093857	1497
ENSMUSG00000098346	58
ENSMUSG00000093280	82
ENSMUSG00000089027	128
ENSMUSG00000065853	70
ENSMUSG00000096565	79
ENSMUSG00000077640	132
ENSMUSG00000093499	92
ENSMUSG00000076327	110
ENSMUSG00000088628	109
ENSMUSG00000084565	78
ENSMUSG00000065560	97
ENSMUSG00000087929	134
ENSMUSG00000065651	127
ENSMUSG00000094864	468
ENSMUSG00000088753	134
ENSMUSG00000093806	1191
ENSMUSG00000088096	107
ENSMUSG00000096578	579
ENSMUSG00000065789	107
ENSMUSG00000087708	139
ENSMUSG00000065883	214
ENSMUSG00000078008	82
ENSMUSG00000076118	109
ENSMUSG00000076338	72
ENSMUSG00000077422	136
ENSMUSG00000015575	794
ENSMUSG00000015575	2812
ENSMUSG00000070236	111
ENSMUSG00000094837	94
ENSMUSG00000087881	144
ENSMUSG00000088460	87
ENSMUSG00000093137	142
ENSMUSG00000064987	134
ENSMUSG00000088296	63
ENSMUSG00000094659	90
ENSMUSG00000099144	80
ENSMUSG00000093300	120
ENSMUSG00000089338	86
ENSMUSG00000087963	133
ENSMUSG00000084433	135
ENSMUSG00000087959	111
ENSMUSG00000064887	107
ENSMUSG00000091028	651
ENSMUSG00000065045	165
ENSMUSG00000093355	121
ENSMUSG00000084589	125
ENSMUSG00000065553	86
ENSMUSG00000076451	94
ENSMUSG00000088565	308
ENSMUSG00000089103	117
ENSMUSG00000089015	99
ENSMUSG00000105770	69
ENSMUSG00000094003	119
ENSMUSG00000077902	92
ENSMUSG00000106200	138
ENSMUSG00000095570	1443
ENSMUSG00000088853	117
ENSMUSG00000098786	71
ENSMUSG00000088359	93
ENSMUSG00000098585	107
ENSMUSG00000064884	107
ENSMUSG00000088409	85
ENSMUSG00000034041	1800
ENSMUSG00000055072	728
ENSMUSG00000084474	190
ENSMUSG00000087909	228
ENSMUSG00000088269	107
ENSMUSG00000065233	119
ENSMUSG00000065866	159
ENSMUSG00000077582	106
ENSMUSG00000106642	58
ENSMUSG00000089123	109
ENSMUSG00000065625	103
ENSMUSG00000065105	138
ENSMUSG00000093403	60
ENSMUSG00000045506	492
ENSMUSG00000080455	90
ENSMUSG00000092867	91
ENSMUSG00000099155	79
ENSMUSG00000088010	100
ENSMUSG00000070209	119
ENSMUSG00000088485	104
ENSMUSG00000056629	627
ENSMUSG00000056629	642
ENSMUSG00000096353	132
ENSMUSG00000104656	97
ENSMUSG00000077177	132
ENSMUSG00000096037	119
ENSMUSG00000023020	723
ENSMUSG00000088868	123
ENSMUSG00000094803	107
ENSMUSG00000088595	143
ENSMUSG00000088210	105
ENSMUSG00000088575	102
ENSMUSG00000084706	246
ENSMUSG00000088587	73
ENSMUSG00000080508	65
ENSMUSG00000089072	124
ENSMUSG00000065623	104
ENSMUSG00000098273	81
ENSMUSG00000077698	90
ENSMUSG00000073179	396
ENSMUSG00000080549	91
ENSMUSG00000095221	92
ENSMUSG00000077175	129
ENSMUSG00000095915	119
ENSMUSG00000098305	92
ENSMUSG00000088133	308
ENSMUSG00000087911	107
ENSMUSG00000087806	131
ENSMUSG00000065404	66
ENSMUSG00000106561	76
ENSMUSG00000088017	270
ENSMUSG00000094631	79
ENSMUSG00000080469	65
ENSMUSG00000088695	133
ENSMUSG00000093107	127
ENSMUSG00000099215	110
ENSMUSG00000094050	191
ENSMUSG00000087720	102
ENSMUSG00000094477	101
ENSMUSG00000065700	107
ENSMUSG00000094939	1083
ENSMUSG00000093260	83
ENSMUSG00000096053	90
ENSMUSG00000088703	111
ENSMUSG00000098850	176
ENSMUSG00000096048	79
ENSMUSG00000096586	110
ENSMUSG00000088526	62
ENSMUSG00000088020	137
ENSMUSG00000084518	316
ENSMUSG00000077457	72
ENSMUSG00000084684	281
ENSMUSG00000024842	1431
ENSMUSG00000064763	107
ENSMUSG00000093294	76
ENSMUSG00000099119	62
ENSMUSG00000058927	949
ENSMUSG00000087741	145
ENSMUSG00000065493	102
ENSMUSG00000076994	81
ENSMUSG00000106436	64
ENSMUSG00000076121	89
ENSMUSG00000095666	1446
ENSMUSG00000084690	135
ENSMUSG00000104690	70
ENSMUSG00000065502	72
ENSMUSG00000065685	107
ENSMUSG00000091697	219
ENSMUSG00000088625	108
ENSMUSG00000080478	109
ENSMUSG00000064901	137
ENSMUSG00000065049	156
ENSMUSG00000105477	145
ENSMUSG00000095069	121
ENSMUSG00000105002	95
ENSMUSG00000087921	270
ENSMUSG00000089548	132
ENSMUSG00000077347	158
ENSMUSG00000095713	79
ENSMUSG00000087912	79
ENSMUSG00000087766	106
ENSMUSG00000078324	1701
ENSMUSG00000024976	4065
ENSMUSG00000024976	4106
ENSMUSG00000089001	77
ENSMUSG00000089509	75
ENSMUSG00000105853	82
ENSMUSG00000096070	94
ENSMUSG00000088669	105
ENSMUSG00000065905	165
ENSMUSG00000104740	110
ENSMUSG00000098532	61
ENSMUSG00000089220	113
ENSMUSG00000077476	140
ENSMUSG00000065050	168
ENSMUSG00000088876	109
ENSMUSG00000088239	289
ENSMUSG00000094997	94
ENSMUSG00000089153	103
ENSMUSG00000079190	1473
ENSMUSG00000093916	888
ENSMUSG00000099312	68
ENSMUSG00000098822	85
ENSMUSG00000064574	107
ENSMUSG00000087993	74
ENSMUSG00000098510	68
ENSMUSG00000077448	134
ENSMUSG00000095228	114
ENSMUSG00000088932	99
ENSMUSG00000077672	132
ENSMUSG00000096633	107
ENSMUSG00000077295	132
ENSMUSG00000071280	336
ENSMUSG00000094667	79
ENSMUSG00000094048	79
ENSMUSG00000099042	63
ENSMUSG00000076453	98
ENSMUSG00000092787	63
ENSMUSG00000093004	71
ENSMUSG00000077403	191
ENSMUSG00000088937	138
ENSMUSG00000093129	106
ENSMUSG00000094123	92
ENSMUSG00000065453	103
ENSMUSG00000069833	1046
ENSMUSG00000069833	18099
ENSMUSG00000088800	72
ENSMUSG00000095100	94
ENSMUSG00000094054	891
ENSMUSG00000077553	130
ENSMUSG00000064745	103
ENSMUSG00000065869	104
ENSMUSG00000087719	305
ENSMUSG00000093874	133
ENSMUSG00000093021	74
ENSMUSG00000065757	82
ENSMUSG00000096563	133
ENSMUSG00000104797	79
ENSMUSG00000077664	127
ENSMUSG00000077681	88
ENSMUSG00000098999	127
ENSMUSG00000084526	119
ENSMUSG00000096132	119
ENSMUSG00000064105	3558
ENSMUSG00000064105	3492
ENSMUSG00000088972	104
ENSMUSG00000094099	78
ENSMUSG00000077649	88
ENSMUSG00000106233	75
ENSMUSG00000099223	72
ENSMUSG00000077519	132
ENSMUSG00000096502	94
ENSMUSG00000064485	134
ENSMUSG00000064616	107
ENSMUSG00000077163	107
ENSMUSG00000092821	101
ENSMUSG00000080526	122
ENSMUSG00000077275	132
ENSMUSG00000088659	109
ENSMUSG00000093096	100
ENSMUSG00000093359	101
ENSMUSG00000088682	104
ENSMUSG00000094245	107
ENSMUSG00000104921	216
ENSMUSG00000099270	204
ENSMUSG00000092718	74
ENSMUSG00000098717	96
ENSMUSG00000080366	121
ENSMUSG00000078002	78
ENSMUSG00000092939	126
ENSMUSG00000088264	100
ENSMUSG00000092673	84
ENSMUSG00000064746	107
ENSMUSG00000089351	63
ENSMUSG00000094034	79
ENSMUSG00000088370	103
ENSMUSG00000088678	116
ENSMUSG00000093148	83
ENSMUSG00000099236	66
ENSMUSG00000077038	121
ENSMUSG00000088444	129
ENSMUSG00000093211	76
ENSMUSG00000064408	108
ENSMUSG00000098594	107
ENSMUSG00000099161	113
ENSMUSG00000088055	68
ENSMUSG00000088671	111
ENSMUSG00000098521	52
ENSMUSG00000065642	131
ENSMUSG00000099199	64
ENSMUSG00000076456	119
ENSMUSG00000094428	110
ENSMUSG00000088548	90
ENSMUSG00000096091	107
ENSMUSG00000077174	123
ENSMUSG00000065479	68
ENSMUSG00000098937	64
ENSMUSG00000094316	76
ENSMUSG00000092825	111
ENSMUSG00000098812	82
ENSMUSG00000088791	95
ENSMUSG00000037815	3698
ENSMUSG00000064778	74
ENSMUSG00000065769	107
ENSMUSG00000094229	107
ENSMUSG00000064697	144
ENSMUSG00000065490	89
ENSMUSG00000105120	127
ENSMUSG00000095031	79
ENSMUSG00000093782	53
ENSMUSG00000098706	56
ENSMUSG00000065360	109
ENSMUSG00000072900	67
ENSMUSG00000098499	61
ENSMUSG00000084569	106
ENSMUSG00000077359	158
ENSMUSG00000065165	107
ENSMUSG00000098951	59
ENSMUSG00000096350	96
ENSMUSG00000098448	107
ENSMUSG00000064707	160
ENSMUSG00000089275	108
ENSMUSG00000093965	102
ENSMUSG00000095149	62
ENSMUSG00000106412	129
ENSMUSG00000093992	107
ENSMUSG00000099192	184
ENSMUSG00000089271	103
ENSMUSG00000089312	301
ENSMUSG00000087775	290
ENSMUSG00000088892	68
ENSMUSG00000098712	63
ENSMUSG00000080499	120
ENSMUSG00000094709	127
ENSMUSG00000104857	126
ENSMUSG00000077794	176
ENSMUSG00000106591	128
ENSMUSG00000077507	129
ENSMUSG00000076258	57
ENSMUSG00000092848	76
ENSMUSG00000088905	131
ENSMUSG00000094033	107
ENSMUSG00000088445	138
ENSMUSG00000089263	105
ENSMUSG00000077380	132
ENSMUSG00000088051	151
ENSMUSG00000105398	70
ENSMUSG00000098969	91
ENSMUSG00000094901	110
ENSMUSG00000093480	61
ENSMUSG00000077411	131
ENSMUSG00000089113	302
ENSMUSG00000096587	83
ENSMUSG00000099123	64
ENSMUSG00000096823	104
ENSMUSG00000077385	132
ENSMUSG00000077939	75
ENSMUSG00000089003	108
ENSMUSG00000099183	82
ENSMUSG00000105321	122
ENSMUSG00000065547	70
ENSMUSG00000106163	115
ENSMUSG00000080582	128
ENSMUSG00000079258	1047
ENSMUSG00000089533	116
ENSMUSG00000089389	137
ENSMUSG00000093571	371
ENSMUSG00000088048	108
ENSMUSG00000088627	106
ENSMUSG00000094008	107
ENSMUSG00000098961	68
ENSMUSG00000088128	105
ENSMUSG00000088739	138
ENSMUSG00000065599	74
ENSMUSG00000095516	101
ENSMUSG00000076424	68
ENSMUSG00000089536	140
ENSMUSG00000098816	70
ENSMUSG00000079230	228
ENSMUSG00000095477	132
ENSMUSG00000088986	105
ENSMUSG00000093083	77
ENSMUSG00000088551	63
ENSMUSG00000093234	89
ENSMUSG00000105116	129
ENSMUSG00000093185	125
ENSMUSG00000104743	88
ENSMUSG00000095880	110
ENSMUSG00000089053	64
ENSMUSG00000088490	107
ENSMUSG00000078251	4037
ENSMUSG00000093102	65
ENSMUSG00000088451	118
ENSMUSG00000095776	109
ENSMUSG00000094390	102
ENSMUSG00000077505	122
ENSMUSG00000084731	122
ENSMUSG00000098972	137
ENSMUSG00000095796	132
ENSMUSG00000094656	101
ENSMUSG00000099311	117
ENSMUSG00000077431	106
ENSMUSG00000087852	330
ENSMUSG00000088358	138
ENSMUSG00000065440	88
ENSMUSG00000093311	69
ENSMUSG00000090451	948
ENSMUSG00000089423	120
ENSMUSG00000076379	67
ENSMUSG00000095333	123
ENSMUSG00000065613	91
ENSMUSG00000089055	104
ENSMUSG00000076233	96
ENSMUSG00000084625	120
ENSMUSG00000088230	103
ENSMUSG00000080566	126
ENSMUSG00000099134	85
ENSMUSG00000089197	124
ENSMUSG00000064688	107
ENSMUSG00000060096	1496
ENSMUSG00000042816	1633
ENSMUSG00000089452	90
ENSMUSG00000105424	145
ENSMUSG00000087922	105
ENSMUSG00000095489	107
ENSMUSG00000065561	79
ENSMUSG00000065486	91
ENSMUSG00000096889	127
ENSMUSG00000099050	58
ENSMUSG00000096500	76
ENSMUSG00000089105	108
ENSMUSG00000098737	63
ENSMUSG00000096639	107
ENSMUSG00000098489	71
ENSMUSG00000094252	498
ENSMUSG00000088582	129
ENSMUSG00000098674	354
ENSMUSG00000089017	127
ENSMUSG00000064543	159
ENSMUSG00000089345	275
ENSMUSG00000099323	196
ENSMUSG00000084497	100
ENSMUSG00000087854	129
ENSMUSG00000065470	66
ENSMUSG00000089343	328
ENSMUSG00000064843	104
ENSMUSG00000099307	109
ENSMUSG00000025013	3369
ENSMUSG00000025013	3318
ENSMUSG00000076357	85
ENSMUSG00000088641	104
ENSMUSG00000024580	4030
ENSMUSG00000045877	2009
ENSMUSG00000088564	120
ENSMUSG00000099272	101
ENSMUSG00000098808	64
ENSMUSG00000064663	107
ENSMUSG00000098914	85
ENSMUSG00000077733	128
ENSMUSG00000092805	290
ENSMUSG00000098919	139
ENSMUSG00000084530	272
ENSMUSG00000093351	83
ENSMUSG00000088748	87
ENSMUSG00000093087	81
ENSMUSG00000092745	89
ENSMUSG00000076234	96
ENSMUSG00000088417	98
ENSMUSG00000094188	74
ENSMUSG00000065387	113
ENSMUSG00000077650	127
ENSMUSG00000080474	129
ENSMUSG00000088779	116
ENSMUSG00000089222	73
ENSMUSG00000084746	322
ENSMUSG00000095678	107
ENSMUSG00000095410	119
ENSMUSG00000065845	164
ENSMUSG00000088393	69
ENSMUSG00000064692	141
ENSMUSG00000089097	128
ENSMUSG00000088487	97
ENSMUSG00000096288	107
ENSMUSG00000065807	104
ENSMUSG00000065840	133
ENSMUSG00000098883	107
ENSMUSG00000077443	135
ENSMUSG00000087830	329
ENSMUSG00000106145	64
ENSMUSG00000099238	79
ENSMUSG00000089028	65
ENSMUSG00000098307	100
ENSMUSG00000094527	132
ENSMUSG00000095778	62
ENSMUSG00000064851	151
ENSMUSG00000098334	70
ENSMUSG00000077687	131
ENSMUSG00000105435	104
ENSMUSG00000065586	106
ENSMUSG00000065468	85
ENSMUSG00000098455	110
ENSMUSG00000094069	94
ENSMUSG00000094513	79
ENSMUSG00000098525	177
ENSMUSG00000098803	106
ENSMUSG00000095357	79
ENSMUSG00000070258	107
ENSMUSG00000089365	124
ENSMUSG00000077459	132
ENSMUSG00000089164	107
ENSMUSG00000077356	132
ENSMUSG00000064795	184
ENSMUSG00000105988	116
ENSMUSG00000088471	103
ENSMUSG00000106544	112
ENSMUSG00000084686	127
ENSMUSG00000078061	92
ENSMUSG00000095116	105
ENSMUSG00000095175	132
ENSMUSG00000087833	324
ENSMUSG00000084643	350
ENSMUSG00000104608	144
ENSMUSG00000077564	129
ENSMUSG00000094440	107
ENSMUSG00000105210	61
ENSMUSG00000087942	130
ENSMUSG00000088813	327
ENSMUSG00000077497	120
ENSMUSG00000065227	107
ENSMUSG00000099300	102
ENSMUSG00000064791	90
ENSMUSG00000077528	133
ENSMUSG00000088118	312
ENSMUSG00000065191	169
ENSMUSG00000065469	73
ENSMUSG00000088155	130
ENSMUSG00000089359	130
ENSMUSG00000088491	89
ENSMUSG00000093515	81
ENSMUSG00000089436	91
ENSMUSG00000096659	164
ENSMUSG00000088792	117
ENSMUSG00000093946	108
ENSMUSG00000088930	137
ENSMUSG00000084423	114
ENSMUSG00000098466	98
ENSMUSG00000077635	135
ENSMUSG00000099291	216
ENSMUSG00000088162	224
ENSMUSG00000099114	112
ENSMUSG00000023066	7268
ENSMUSG00000077628	131
ENSMUSG00000098634	127
ENSMUSG00000064940	181
ENSMUSG00000105847	59
ENSMUSG00000089385	107
ENSMUSG00000088229	311
ENSMUSG00000104561	84
ENSMUSG00000089564	100
ENSMUSG00000098818	105
ENSMUSG00000095675	402
ENSMUSG00000033417	5790
ENSMUSG00000033417	5700
ENSMUSG00000033417	5561
ENSMUSG00000080486	74
ENSMUSG00000088450	100
ENSMUSG00000105196	64
ENSMUSG00000064463	203
ENSMUSG00000094158	107
ENSMUSG00000095791	107
ENSMUSG00000098478	63
ENSMUSG00000094131	116
ENSMUSG00000089382	259
ENSMUSG00000065474	72
ENSMUSG00000089366	276
ENSMUSG00000024518	1669
ENSMUSG00000096558	92
ENSMUSG00000098858	110
ENSMUSG00000087958	269
ENSMUSG00000099015	109
ENSMUSG00000077305	130
ENSMUSG00000080543	111
ENSMUSG00000093329	101
ENSMUSG00000096264	124
ENSMUSG00000077674	132
ENSMUSG00000088709	315
ENSMUSG00000064994	135
ENSMUSG00000088907	132
ENSMUSG00000064872	160
ENSMUSG00000093780	96
ENSMUSG00000064860	120
ENSMUSG00000093763	60
ENSMUSG00000093964	132
ENSMUSG00000088572	315
ENSMUSG00000070081	90
ENSMUSG00000088784	94
ENSMUSG00000064553	162
ENSMUSG00000092653	207
ENSMUSG00000065199	107
ENSMUSG00000098648	105
ENSMUSG00000070127	109
ENSMUSG00000089525	252
ENSMUSG00000076240	109
ENSMUSG00000095472	90
ENSMUSG00000080364	126
ENSMUSG00000077369	155
ENSMUSG00000105682	129
ENSMUSG00000087829	277
ENSMUSG00000089272	139
ENSMUSG00000098995	63
ENSMUSG00000093036	71
ENSMUSG00000092878	66
ENSMUSG00000089413	103
ENSMUSG00000095243	107
ENSMUSG00000093059	271
ENSMUSG00000064748	119
ENSMUSG00000080580	121
ENSMUSG00000089280	271
ENSMUSG00000099287	93
ENSMUSG00000065471	79
ENSMUSG00000093074	114
ENSMUSG00000089080	100
